Region,Year,Population
Midwest,2010,66974749.00
Northeast,2010,55380645.00
South,2010,114867066.00
West,2010,70739662.00
Midwest,2011,67152631.00
Northeast,2011,55600532.00
South,2011,116039399.00
West,2011,71408195.00
Midwest,2012,67336937.00
Northeast,2012,55776729.00
South,2012,117271075.00
West,2012,72094572.00
Midwest,2013,67564135.00
Northeast,2013,55907823.00
South,2013,118393244.00
West,2013,72784072.00
Midwest,2014,67752238.00
Northeast,2014,56015864.00
South,2014,119657737.00
West,2014,73545720.00
Midwest,2015,67869139.00
Northeast,2015,56047587.00
South,2015,121037542.00
West,2015,74365921.00
Midwest,2016,67996917.00
Northeast,2016,56058789.00
South,2016,122401186.00
West,2016,75186345.00
Midwest,2017,68156035.00
Northeast,2017,56072676.00
South,2017,123598424.00
West,2017,75895783.00
